Date,High,Low,Open,Close,Volume,Adj Close
2020-04-19,10184.4892578125,9658.07421875,10098.419921875,9721.1455078125,53319874526.0,9721.1455078125
2020-04-20,9838.3330078125,9728.248046875,9718.07421875,9763.935546875,46248428075.0,9763.935546875
2020-04-21,10125.8701171875,9747.39453125,9762.6826171875,10096.2783203125,47166351947.0,10096.2783203125
2020-04-22,10533.734375,10009.763671875,10102.0927734375,10451.1630859375,61191201960.0,10451.1630859375
2020-04-23,10678.70703125,10457.4326171875,10457.4326171875,10642.806640625,48819317887.0,10642.806640625
2020-04-24,10773.1767578125,10601.609375,10642.216796875,10669.6357421875,46430279131.0,10669.6357421875
2020-04-25,10856.6826171875,10657.615234375,10669.921875,10836.6767578125,46663641494.0,10836.6767578125
2020-04-26,10941.6015625,10836.0439453125,10836.0439453125,10941.6015625,50755776012.0,10941.6015625
2020-04-27,10927.0537109375,10822.7041015625,10943.5234375,10917.1171875,46408881575.0,10917.1171875
2020-04-28,12314.765625,10859.3037109375,10916.6337890625,12211.4658203125,83529140534.0,12211.4658203125
2020-04-29,13105.1337890625,11900.9228515625,12206.7939453125,12083.2373046875,93450881605.0,12083.2373046875
2020-04-30,12691.056640625,12096.0888671875,12103.0927734375,12644.259765625,62856948072.0,12644.259765625
2020-05-01,12847.40234375,12568.0927734375,12650.3798828125,12820.8837890625,57245685298.0,12820.8837890625
2020-05-02,13076.46484375,12596.0556640625,12813.7783203125,12576.126953125,66576018255.0,12576.126953125
2020-05-03,12618.0869140625,12212.4970703125,12573.6904296875,12551.24609375,64383494855.0,12551.24609375
2020-05-04,12740.0244140625,12452.6103515625,12551.49609375,12642.5615234375,60591228695.0,12642.5615234375
2020-05-05,13337.791015625,12602.53515625,12648.69921875,13128.228515625,69930093790.0,13128.228515625
2020-05-06,13969.814453125,12917.1103515625,13118.501953125,13904.5908203125,85388681944.0,13904.5908203125
2020-05-07,13931.1513671875,13611.6982421875,13883.1337890625,13795.9736328125,72578485493.0,13795.9736328125
2020-05-08,13896.7578125,13429.66796875,13793.5068359375,13448.2451171875,65274061291.0,13448.2451171875
2020-05-09,13450.60546875,11767.841796875,13444.421875,12194.486328125,88188810414.0,12194.486328125
2020-05-10,12639.6689453125,11745.080078125,12193.2392578125,12061.869140625,80096322005.0,12061.869140625
2020-05-11,12553.6640625,12016.4580078125,12073.9140625,12397.9375,59342846267.0,12397.9375
2020-05-12,13138.7587890625,12399.21875,12399.21875,13062.2001953125,64195297371.0,13062.2001953125
2020-05-13,13785.376953125,13053.1533203125,13064.08984375,13659.9638671875,79187547236.0,13659.9638671875
2020-05-14,13691.7001953125,13066.9248046875,13660.7626953125,13162.552734375,67954478024.0,13162.552734375
2020-05-15,13493.037109375,13064.8486328125,13169.66796875,13228.951171875,51020709976.0,13228.951171875
2020-05-16,13858.14453125,13190.19921875,13226.0107421875,13627.9384765625,56486445444.0,13627.9384765625
2020-05-17,13945.71875,13466.3466796875,13634.921875,13559.828125,58311257556.0,13559.828125
2020-05-18,13682.080078125,13308.701171875,13560.5087890625,13560.9365234375,54715061711.0,13560.9365234375
2020-05-19,13664.7060546875,13141.0478515625,13555.7666015625,13241.1337890625,50815353532.0,13241.1337890625
2020-05-20,13300.1044921875,12369.59765625,13240.798828125,12666.3330078125,54848196095.0,12666.3330078125
2020-05-21,12934.7890625,12610.0400390625,12664.3427734375,12857.904296875,41742535872.0,12857.904296875
2020-05-22,13025.828125,12767.6318359375,12861.3837890625,12895.3046875,38825945503.0,12895.3046875
2020-05-23,13006.087890625,12291.2373046875,12899.5,12293.2158203125,45477123670.0,12293.2158203125
2020-05-24,12519.431640625,12189.1455078125,12287.2578125,12445.0634765625,43716845839.0,12445.0634765625
2020-05-25,12506.5498046875,12102.1943359375,12448.767578125,12177.46875,40776269464.0,12177.46875
2020-05-26,12685.8935546875,12177.1708984375,12180.677734375,12630.3720703125,45041320319.0,12630.3720703125
2020-05-27,13149.1484375,12594.927734375,12635.7744140625,13121.0263671875,47338134419.0,13121.0263671875
2020-05-28,13196.6484375,12885.6171875,13124.6142578125,13000.0341796875,45306900255.0,13000.0341796875
2020-05-29,13364.8759765625,12900.328125,12999.744140625,13359.8955078125,45067717513.0,13359.8955078125
2020-05-30,13359.798828125,12999.26171875,13359.470703125,13034.29296875,38262651032.0,13034.29296875
2020-05-31,13849.408203125,12830.77734375,13037.8017578125,13812.48828125,47818587074.0,13812.48828125
